id,user_name,user_address,user_city,user_phone,process_status,date_created
1,apple pan  the,0801 w. pico blvd,est l,310-475-3585,processed,2021-07-01 00:34:13
2,asahi ramen,027 sawtelle blvd,est l,310-479-2231,processed,2015-09-29 04:22:19
3,baja fresh,345 kimber dr,estlake villag,805-498-4049,processed,2018-02-21 07:57:17
4,belvedere  the,882 little santa monica blvd,everly hill,310-788-2306,processed,2017-01-18 02:47:20
5,benitas frites,433 third st. promenad,anta monic,310-458-2889,processed,2020-02-25 00:44:06
6,bernards,15 s. olive st,os angele,213-612-1580,processed,2015-12-29 16:39:46
7,bistro 45,5 s. mentor ave,sade,818-795-2478,processed,2022-05-31 07:11:34
8,brents deli,9565 parthenia ave,rthrid,818-886-5679,processed,2022-02-04 06:19:18
9,brighton coffee shop,600 brighton wa,everly hill,310-276-7732,processed,2021-12-23 09:35:54
10,bristol farms market cafe,570 rosecrans ave. s,sade,310-643-5229,processed,2021-02-05 17:33:52
11,brunos,838 centinela ave,ar vist,310-397-5703,processed,2015-07-10 19:41:37
12,cafe 50s,38 lincoln blvd,ni,310-399-1955,processed,2018-07-02 19:19:41
13,cafe blanc,777 little santa monica blvd,everly hill,310-888-0108,processed,2019-12-13 00:08:08
14,cassells,266 w. sixth st,,213-480-8668,processed,2017-02-08 23:04:07
15,chez melange,716 pc,edondo beac,310-540-1222,processed,2015-04-17 13:53:04
16,iaghile,020 n. san vicente blvd,. hollywoo,310-854-1111,processed,2021-05-17 01:44:55
17,don antonios,136 westwood blvd,stwo,310-209-1422,processed,2015-12-09 04:11:33
18,dukes,909 sunset blvd,. hollywoo,310-652-3100,processed,2017-09-02 13:24:44
19,falafel king,059 broxton ave,stwo,310-208-4444,processed,2024-02-16 07:41:20
20,feast from the east,949 westwood blvd,est l,310-475-0400,processed,2022-01-23 21:52:03
21,gumbo pot  the,333 w. third st,,213-933-0358,processed,2019-03-09 02:12:53
22,hollywood hills coffee shop,145 franklin ave,llywo,213-467-7678,processed,2021-06-11 19:09:11
23,indo cafe,0428 1/2 national blvd,,310-815-1290,processed,2018-07-21 14:32:01
24,jans family restaurant,424 beverly blvd,,213-651-2866,processed,2017-10-19 07:32:08
25,iraff,02 santa monica blv,anta monic,310-917-6671,processed,2024-02-16 04:23:55
26,jody maronis sausage kingdom,011 ocean front wal,ni,310-306-1995,processed,2015-06-08 09:43:50
27,joes,023 abbot kinney blvd,ni,310-399-5811,processed,2018-05-18 18:49:15
28,john ogroats,0516 w. pico blvd,est l,310-204-0692,processed,2015-10-03 16:14:17
29,johnnies pastrami,017 s. sepulveda blvd,ulver cit,310-397-6654,processed,2022-03-01 08:09:21
30,johnny rebs southern smokehouse,663 long beach blvd,ong beac,310-423-7327,processed,2016-03-28 23:02:42
31,johnny rockets (la),507 melrose ave,,213-651-3361,processed,2020-02-14 04:36:02
32,killer shrimp,000 colfax ave,tudio cit,818-508-1570,processed,2016-06-08 13:18:14
33,kokomo cafe,333 w. third st,,213-933-0773,processed,2019-11-29 19:26:23
34,koo koo roo,393 w. beverly blvd,,213-655-9045,processed,2024-01-27 21:06:46
35,la cachette,0506 little santa monica blvd,entury cit,310-470-4992,processed,2021-07-27 11:25:25
36,la salsa (la),2800 pc,li,310-456-6299,processed,2023-09-21 18:21:15
37,la serenata de garibaldi,842 e. firs,t. boyle hts,213-265-2887,processed,2015-05-18 16:56:24
38,langers,04 s. alvarado st,,213-483-8050,processed,2018-10-08 03:48:27
39,local nochol,0869 thousand oaks blvd,estlake villag,818-706-7706,processed,2015-06-02 20:03:32
40,main course  the,0509 w. pico blvd,ancho par,310-475-7564,processed,2016-07-29 04:30:34
41,manis bakery & espresso bar,19 s. fairfax ave,,213-938-8800,processed,2023-05-19 20:41:24
42,marthas,2nd street grill 25 22n,t. hermosa beac,310-376-7786,processed,2017-09-24 16:50:06
43,maxwells cafe,3329 washington blvd,arina del re,310-306-7829,processed,2020-11-15 10:08:42
44,michaels (los angeles),147 third st,anta monic,310-451-0843,processed,2022-11-12 06:26:45
45,ishim,474 w. third st,,213-782-0181,processed,2015-09-09 22:22:08
46,mo better meatty meat,261 melrose ave,,213-935-5280,processed,2017-08-15 12:35:06
47,mulberry st.,7040 ventura blvd,ci,818-906-8881,processed,2016-10-17 21:01:21
48,ocean park cafe,117 ocean park blvd,anta monic,310-452-5728,processed,2020-07-03 21:45:48
49,ocean star,45 n. atlantic blvd,onterey par,818-308-2128,processed,2022-08-28 05:00:26
50,original pantry bakery,75 s. figueroa st. downtow,,213-627-6879,processed,2016-11-15 07:23:34
51,parkway grill,10 s. arroyo pkwy,sade,818-795-1001,processed,2021-07-31 09:27:07
52,pho hoa,42 broadwa,inato,213-626-5530,processed,2020-11-08 11:59:09
53,pinks famous chili dogs,09 n. la brea ave,,213-931-4223,processed,2015-05-08 15:21:51
54,poquito mas,635 w. olive ave,rba,818-563-2252,processed,2017-12-24 02:04:49
55,-2,23 e. third st,os angele,213-687-7178,processed,2023-09-28 18:39:16
56,raes,901 pico blvd,anta monic,310-828-7937,processed,2021-08-30 11:59:56
57,rubins red hots,5322 ventura blvd,ci,818-905-6515,processed,2020-08-15 19:52:49
58,rubys (la),5 s. fair oaks ave,sade,818-796-7829,processed,2016-05-17 17:34:19
59,russells burgers,198 pc,eal beac,310-596-9556,processed,2019-01-15 04:18:50
60,ruths chris steak house (los angeles),24 s. beverly dr,everly hill,310-859-8744,processed,2022-09-30 10:05:11
61,hir,505 mission st. s,sade,818-799-4774,processed,2022-10-31 23:34:20
62,sushi nozawa,1288 ventura blvd,tudio cit,818-508-7017,processed,2022-03-18 06:08:12
63,sweet lady jane,360 melrose ave,,213-653-7145,processed,2016-10-31 23:35:24
64,aik,1677 san vicente blvd,entwo,310-207-7782,processed,2016-12-19 04:53:29
65,tommys,575 beverly blvd,,213-389-9060,processed,2017-12-08 14:21:12
66,uncle bills pancake house,305 highland ave,anhattan beac,310-545-5177,processed,2018-10-02 13:55:36
67,water grill,44 s. grand ave,os angele,213-891-0900,processed,2017-07-03 08:15:14
68,zankou chicken,415 e. colorado st,enda,818-244-1937,processed,2024-03-16 05:49:13
69,afghan kebab house,64 ninth ave,ew york cit,212-307-1612,processed,2018-07-03 14:38:28
70,rcadi,1 e. 62nd st,ew york cit,212-223-2900,processed,2015-12-27 02:21:35
71,bennys burritos,3 ave. ,ew york cit,212-254-2054,processed,2023-02-08 14:48:22
72,cafe con leche,24 amsterdam ave,ew york cit,212-595-7000,processed,2015-12-15 17:27:53
73,corner bistro,31 w. fourth st,ew york cit,212-242-9502,processed,2017-11-07 05:32:44
74,cucina della fontana,68 bleecker st,ew york cit,212-242-0636,processed,2016-01-04 06:33:02
75,cucina di pesce,7 e. fourth st,ew york cit,212-260-6800,processed,2020-06-25 13:30:43
76,arba,4 w. 56th st,ew york cit,212-432-7227,processed,2016-08-07 05:32:42
77,ejs luncheonette,32 sixth ave,ew york cit,212-473-5555,processed,2020-12-15 10:52:25
78,edison cafe,28 w. 47th st,ew york cit,212-840-5000,processed,2020-04-23 08:35:52
79,elias corner,4-02 31st st,ee,718-932-1510,processed,2017-11-28 17:39:37
80,good enough to eat,83 amsterdam ave,ew york cit,212-496-0163,processed,2018-05-22 20:41:52
81,grays papaya,090 broadwa,ew york cit,212-799-0243,processed,2021-04-03 17:58:43
82,il mulino,6 w. third st,ew york cit,212-673-3783,processed,2018-12-11 22:55:33
83,jackson diner,7-03 74th st,ee,718-672-1232,processed,2017-08-01 16:50:21
84,joes shanghai, pell st,ee,718-539-3838,processed,2021-01-11 09:55:12
85,johns pizzeria,8 w. 65th st,ew york cit,212-721-7001,processed,2015-07-24 20:46:45
86,kelley & ping,27 greene st,ew york cit,212-228-1212,processed,2023-09-04 08:08:26
87,ie,17 second ave,ew york cit,212-674-4040,processed,2020-03-18 07:51:39
88,kuruma zushi,nd fl,ew york cit,212-317-2802,processed,2017-08-14 21:02:28
89,la caridad,199 broadwa,ew york cit,212-874-2780,processed,2021-08-06 12:06:49
90,la grenouille, e. 52nd st,ew york cit,212-752-1495,processed,2022-07-30 01:49:37
91,lemongrass grill,1a seventh ave,ookl,718-399-7100,processed,2021-06-22 11:16:51
92,lombardis,2 spring st,ew york cit,212-941-7994,processed,2015-04-09 10:21:42
93,marnies noodle shop,66 hudson st,ew york cit,212-741-3214,processed,2017-03-12 09:57:15
94,enchanko-te,9 w. 55th st,ew york cit,212-247-1585,processed,2018-04-19 08:15:16
95,mitali east-west,96 bleecker st,ew york cit,212-989-1367,processed,2023-04-17 12:09:40
96,monsoon (ny),35 amsterdam ave,ew york cit,212-580-8686,processed,2022-10-09 08:49:26
97,oustach,05 atlantic ave,ookl,718-852-5555,processed,2016-01-28 22:06:06
98,ob,05 hudson st,ew york cit,212-219-0500,processed,2021-12-06 07:33:09
99,one if by land  tibs,7 barrow st,ew york cit,212-228-0822,processed,2019-11-14 11:25:18
100,oyster bar,ower leve,ew york cit,212-490-6650,processed,2016-05-25 23:38:24
101,al,37 second ave,ew york cit,212-687-2953,processed,2016-08-26 10:24:08
102,palm too,40 second ave,ew york cit,212-697-5198,processed,2019-10-08 14:50:43
103,patsys pizza,9 old fulton st,ookl,718-858-4300,processed,2016-05-19 01:49:40
104,peter luger steak house,78 broadwa,ookl,718-387-7400,processed,2016-06-14 00:21:21
105,rose of india,08 e. sixth st,ew york cit,212-533-5011,processed,2019-07-29 16:07:58
106,sams noodle shop,11 third ave,ew york cit,212-213-2288,processed,2019-03-06 05:02:33
107,sarabeths,295 madison ave,ew york cit,212-410-7335,processed,2019-04-24 02:58:33
108,sparks steak house,10 e. 46th st,ew york cit,212-687-4855,processed,2020-07-16 07:36:57
109,stick to your ribs,-16 51st ave,ee,718-937-3030,processed,2021-06-07 21:45:17
110,ushisa,8 e. 51st st,ew york cit,212-755-1780,processed,2021-02-10 09:52:04
